primary_date,state_name
,﻿2028 Presidential Primary Calendar
2028-02-01,Iowa
2028-02-01,New Hampshire
2028-03-07,Nevada
2028-03-07,New York
2028-02-22,Michigan
2028-03-07,Alabama
2028-03-07,Arkansas
2028-03-07,California
2028-03-07,Colorado
2028-03-07,[OR March 14 OR March 21]
2028-03-07,Maine
2028-03-07,Massachusetts
2028-03-07,Minnesota
2028-03-07,North Carolina
2028-03-07,Oklahoma
2028-03-07,Tennessee
2028-03-07,Texas
2028-03-07,Utah
2028-03-07,Vermont
2028-03-07,Virginia
2028-03-14,Hawaii
2028-03-14,Mississippi
2028-03-14,Washington
2028-03-21,Arizona
2028-03-21,Florida
2028-03-21,Illinois
2028-03-21,Ohio
2028-03-25,Louisiana
2028-04-04,Connecticut
2028-04-04,Wisconsin
2028-04-25,Delaware
2028-04-25,Maryland
2028-04-25,Rhode Island
2028-04-25,Pennsylvania
2028-05-02,Indiana
2028-05-09,Nebraska
2028-05-09,West Virginia
2028-05-16,Kentucky
2028-05-16,Oregon
2028-06-06,Montana
2028-06-06,New Jersey
2028-06-06,New Mexico
2028-06-06,South Dakota
2028-06-06,"Washington, DC"
